name,scientific_name,threat_level,description,origin,ecological_impact,image_url
"Acacia mangium","Acacia mangium","moderate","Fast-growing tree species that dominates native forest areas and forms dense monocultures.","Australia & Papua New Guinea","Suppresses native vegetation, alters soil chemistry, reduces biodiversity.","/Acacia mangium.jpg"
"Asian house rat","Rattus tanezumi","high","Invasive rat species that damages crops, stored food, and spreads multiple diseases.","Asia","Destroys crops and stored food, spreads leptospirosis, plague, and other diseases.","/Asian house rat.jpg"
"Australian redclaw crayfish","Cherax quadricarinatus","high","Invasive freshwater crayfish that aggressively competes with native aquatic species.","Australia","Outcompetes native aquatic species, disrupts freshwater ecosystems, destroys aquatic vegetation.","/Australian Redclaw crayfish.jpg"
"Banded bull frog","Kaloula pulchra","moderate","Invasive frog species that competes with native amphibians for food and habitat.","South and Southeast Asia","Competes with native frogs, disrupts local food chains, spreads chytrid fungus.","/Banded Bullfrog.jpg"
"Buyo-buyo","Pterygoplichthys disjunctivus","high","Armored suckermouth catfish invasive to Philippine waterways, also known as janitor fish.","South America","Destroys fish eggs, damages fishing nets, displaces native fish, disrupts river ecosystems.","/Buyo-buyo.jpg"
"Cane toad","Rhinella marina","critical","Highly toxic invasive toad that is deadly to predators that attempt to eat it.","Central and South America","Poisons native predators through toxic skin secretions, competes with native amphibians.","/Cane toad.jpg"
"Chinese edible frog","Hoplobatrachus rugulosus","moderate","Large invasive frog species that outcompetes native amphibian species for resources.","East and Southeast Asia","Competes with native frogs for food and breeding habitat, may spread pathogens.","/Chinese edible frog.jpg"
"Crown of thorns","Acanthaster planci","critical","Coral-eating starfish that devastates reef ecosystems during population outbreaks.","Indo-Pacific (outbreak species)","Destroys coral reefs by consuming coral polyps, reduces marine biodiversity significantly.","/Crown of thorns.jpg"
"Fall armyworm","Spodoptera frugiperda","critical","Highly destructive moth larvae that devastates crops across entire regions.","Americas","Destroys corn, rice, sorghum and other staple crops, causes massive agricultural losses.","/Fall armyworm.jpg"
"Giant african land snail","Achatina fulica","high","One of the world's most destructive land snails, consuming hundreds of plant species.","East Africa","Damages crops and vegetation, spreads rat lungworm disease, competes with native snails.","/Giant African land snail.jpg"
"Golden apple snail","Pomacea canaliculata","critical","Highly invasive freshwater snail that devastates rice paddies across Southeast Asia.","South America","Destroys rice paddies, outcompetes native snail species, affects wetland ecosystems.","/Golden apple snail.jpg"
"Greenhouse frog","Eleutherodactylus planirostris","moderate","Small invasive frog that disrupts native insect populations and food webs.","Cuba and Bahamas","Competes with native insectivores, alters arthropod communities, disrupts food webs.","/Greenhouse frog.jpg"
"House mouse","Mus musculus","high","Invasive rodent that causes significant damage to crops, stored food, and native wildlife.","Central Asia","Destroys stored food and crops, spreads diseases, preys on native bird eggs and insects.","/House mouse.jpg"
"Ipil-ipil","Leucaena leucocephala","moderate","Fast-growing leguminous shrub that forms dense monocultures in disturbed areas.","Mexico and Central America","Suppresses native vegetation, reduces plant diversity, forms impenetrable thickets.","/Ipil-ipil.jpg"
"Nile tilapia","Oreochromis niloticus","high","Aggressive invasive fish that dominates and alters freshwater ecosystems.","Africa","Outcompetes native fish species, alters aquatic habitats, reduces native fish populations.","/Nile tilapia.jpg"
"Walking catfish","Clarias batrachus","high","Invasive catfish capable of breathing air and moving across land between water bodies.","Southeast Asia","Outcompetes native fish, spreads rapidly across waterways, predates on native species.","/Walking catfish.jpg"
"Water hyacinth","Eichhornia crassipes","critical","Fast-growing aquatic plant that clogs waterways and devastates aquatic ecosystems.","South America","Reduces oxygen in water, blocks sunlight, kills fish, clogs irrigation systems.","/Water hyacinth.jpg"
